"filename", "language", "Go Checksum File", "Go Module File", "Go", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\workspace\go\src\bd-ui\go.mod", "Go Module File", 0, 7, 0, 0, 0, 0, 0, 3, 10
"d:\workspace\go\src\bd-ui\go.sum", "Go Checksum File", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\workspace\go\src\bd-ui\main.go", "Go", 0, 0, 30, 0, 0, 0, 1, 9, 40
"d:\workspace\go\src\bd-ui\server\bd.go", "Go", 0, 0, 100, 0, 0, 0, 0, 23, 123
"d:\workspace\go\src\bd-ui\server\config.go", "Go", 0, 0, 31, 0, 0, 0, 0, 7, 38
"d:\workspace\go\src\bd-ui\server\db.go", "Go", 0, 0, 93, 0, 0, 0, 0, 15, 108
"d:\workspace\go\src\bd-ui\server\list_adapters.go", "Go", 0, 0, 158, 0, 0, 0, 0, 15, 173
"d:\workspace\go\src\bd-ui\server\registry.go", "Go", 0, 0, 89, 0, 0, 0, 0, 13, 102
"d:\workspace\go\src\bd-ui\server\server.go", "Go", 0, 0, 103, 0, 0, 0, 0, 18, 121
"d:\workspace\go\src\bd-ui\server\subscriptions.go", "Go", 0, 0, 200, 0, 0, 0, 0, 26, 226
"d:\workspace\go\src\bd-ui\server\watcher.go", "Go", 0, 0, 118, 0, 0, 0, 0, 19, 137
"d:\workspace\go\src\bd-ui\server\ws.go", "Go", 0, 0, 713, 0, 0, 0, 0, 92, 805
"d:\workspace\go\src\bd-ui\web\index.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 1, 50
"d:\workspace\go\src\bd-ui\web\protocol.js", "JavaScript", 0, 0, 0, 0, 0, 99, 102, 16, 217
"d:\workspace\go\src\bd-ui\web\styles.css", "CSS", 0, 0, 0, 0, 1901, 0, 76, 144, 2121
"Total", "-", 6, 7, 1635, 49, 1901, 99, 179, 402, 4278
